Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
1,Faye Abbott,2,1928-1929,13,0,13,0,.000,-13,0,0,0,0,,11.0,10,0,0,0
2,Dave Adolph,12,1985-1996,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
3,Frankie Albert,3,1956-1958,36,19,16,1,.543,3,1,1,0,1,.000,2.7,1,0,0,0
4,Doc Alexander,2,1922-1926,18,8,8,2,.500,0,0,0,0,0,,10.5,6,0,0,0
5,Dennis Allen,1,2011,0,0,0,0,,0,0,0,0,0,,1.0,1,0,0,0
6,George Allen,12,1966-1977,168,116,47,5,.712,69,7,9,2,7,.222,1.8,1,0,0,1
7,Hunk Anderson,4,1942-1945,36,23,11,2,.676,12,2,2,1,1,.500,2.0,1,1,0,0
8,Roy Andrews,8,1924-1931,82,51,27,4,.654,24,0,0,0,0,,5.9,2,0,0,0
9,Bruce Arians,8,2001-2011,0,0,0,0,,0,0,0,0,0,,1.9,1,0,0,0
10,John Armstrong,1,1924,9,5,2,2,.714,3,0,0,0,0,,5.0,5,0,0,0
11,Neill Armstrong,4,1978-1981,64,30,34,0,.469,-4,1,1,0,1,.000,3.0,1,0,0,0
12,Bill Arnsparger,17,1970-1994,35,7,28,0,.200,-21,0,0,0,0,,2.1,1,0,0,0
13,Dave Atkins,2,1994-1995,0,0,0,0,,0,0,0,0,0,,4.0,3,0,0,0
14,Bill Austin,4,1966-1970,56,17,36,3,.321,-19,0,0,0,0,,4.5,4,0,0,0
15,Joe Bach,4,1935-1953,48,21,27,0,.438,-6,0,0,0,0,,3.3,2,0,0,0
16,Bob Baker,4,1985-1988,0,0,0,0,,0,0,0,0,0,,3.5,3,0,0,0
17,Herman Ball,3,1949-1951,20,4,16,0,.200,-12,0,0,0,0,,4.3,3,0,0,0
18,Mark Banker,1,2001,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
19,Shorty Barr,1,1926,3,1,2,0,.333,-1,0,0,0,0,,16.0,16,0,0,0
20,Joe Barry,2,2007-2008,0,0,0,0,,0,0,0,0,0,,3.5,3,0,0,0
21,Norm Barry,2,1925-1926,26,16,8,2,.667,8,0,0,0,0,,5.5,1,1,0,0
22,Tom Bass,9,1969-1985,0,0,0,0,,0,0,0,0,0,,3.3,1,0,0,0
23,Jeremy Bates,1,2010,0,0,0,0,,0,0,0,0,0,,1.0,1,0,0,0
24,Jim Bates,7,1994-2005,7,3,4,0,.429,-1,0,0,0,0,,2.4,1,0,0,0
25,Dim Batterson,1,1927,5,0,5,0,.000,-5,0,0,0,0,,12.0,12,0,0,0
26,Cliff Battles+,2,1946-1947,21,4,16,1,.200,-12,0,0,0,0,,2.5,2,0,0,0
27,Sammy Baugh+,3,1960-1964,42,18,24,0,.429,-6,0,0,0,0,,3.0,2,0,0,0
28,John Becker,5,1987-1991,0,0,0,0,,0,0,0,0,0,,2.8,1,0,0,0
29,Bull Behman,3,1929-1931,40,13,20,7,.394,-7,0,0,0,0,,7.0,3,0,0,0
30,Larry Beightol,1,1989,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
31,Bill Belichick,26,1985-2011,272,175,97,0,.643,78,9,21,15,6,.714,1.8,1,3,3,4
32,Bert Bell,6,1936-1941,58,10,46,2,.179,-36,0,0,0,0,,4.7,4,0,0,0
33,Phil Bengtson,4,1968-1972,47,21,25,1,.457,-4,0,0,0,0,,3.5,3,0,0,0
34,Leeman Bennett,8,1977-1986,119,50,69,0,.420,-19,3,4,1,3,.250,2.6,1,0,0,0
35,Dutch Bergman,1,1943,10,6,3,1,.667,3,1,2,1,1,.500,1.0,1,0,0,0
36,Raymond Berry+,6,1984-1989,87,48,39,0,.552,9,2,5,3,2,.600,2.2,1,0,0,1
37,Punk Berryman,2,1924-1926,25,14,10,1,.583,4,0,0,0,0,,8.5,3,0,0,0
38,Tom Bettis,9,1977-1985,7,1,6,0,.143,-5,0,0,0,0,,3.7,1,0,0,0
39,Darrell Bevell,6,2006-2011,0,0,0,0,,0,0,0,0,0,,2.2,1,0,0,0
40,Hugo Bezdek,2,1937-1938,14,1,13,0,.071,-12,0,0,0,0,,4.5,4,0,0,0
41,Dana Bible,1,1998,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
42,Scotty Bierce,1,1925,8,4,2,2,.667,2,0,0,0,0,,4.0,4,0,0,0
43,Ed Biles,9,1975-1983,31,8,23,0,.258,-15,0,0,0,0,,2.8,1,0,0,0
44,Brian Billick,15,1993-2007,144,80,64,0,.556,16,4,8,5,3,.625,2.3,1,1,1,1
45,Greg Blache,7,1999-2009,0,0,0,0,,0,0,0,0,0,,3.6,1,0,0,0
46,Lisle Blackbourn,4,1954-1957,48,17,31,0,.354,-14,0,0,0,0,,4.8,3,0,0,0
47,Sam Boghosian,2,1976-1977,0,0,0,0,,0,0,0,0,0,,4.5,4,0,0,0
48,Pat Boland,1,1946,6,2,3,1,.400,-1,0,0,0,0,,4.0,4,0,0,0
49,Todd Bowles,1,2011,3,2,1,0,.667,1,,,,,,3.0,3,0,0,0
50,Gus Bradley,3,2009-2011,0,0,0,0,,0,0,0,0,0,,2.3,1,0,0,0
51,Joe Brandy,1,1924,6,0,6,0,.000,-6,0,0,0,0,,16.0,16,0,0,0
52,Bob Bratkowski,14,1995-2010,0,0,0,0,,0,0,0,0,0,,2.9,1,0,0,0
53,Dave Brazil,2,1990-1991,0,0,0,0,,0,0,0,0,0,,1.5,1,0,0,0
54,Wayne Brenkert,2,1923-1924,10,3,7,0,.300,-4,0,0,0,0,,14.5,13,0,0,0
55,Chuck Bresnahan,8,2000-2011,0,0,0,0,,0,0,0,0,0,,1.6,1,0,0,0
56,Tom Bresnahan,5,1992-1996,0,0,0,0,,0,0,0,0,0,,1.8,1,0,0,0
57,Untz Brewer,1,1922,10,3,5,2,.375,-2,0,0,0,0,,10.0,10,0,0,0
58,Charlie Brickley,1,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
59,Frank Bridges,1,1944,5,0,5,0,.000,-5,0,0,0,0,,5.0,5,0,0,0
60,Marty Brill,1,1931,7,3,3,1,.500,0,0,0,0,0,,7.0,7,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
61,Howard Brinker,4,1976-1979,0,0,0,0,,0,0,0,0,0,,2.8,1,0,0,0
62,Rich Brooks,6,1995-2000,32,13,19,0,.406,-6,0,0,0,0,,2.8,1,0,0,0
63,Kippy Brown,2,1998-1999,0,0,0,0,,0,0,0,0,0,,2.5,2,0,0,0
64,Paul Brown,25,1946-1975,326,213,104,9,.672,109,15,17,9,8,.529,2.0,1,7,0,0
65,Fred Bruney,4,1975-1990,1,1,0,0,1.000,1,0,0,0,0,,3.0,2,0,0,0
66,Johnny Bryan,2,1925-1926,15,2,13,0,.133,-11,0,0,0,0,,15.5,15,0,0,0
67,Joe Bugel,9,1981-1997,80,24,56,0,.300,-32,0,0,0,0,,3.9,1,0,0,0
68,Hank Bullough,12,1978-1993,22,4,18,0,.182,-14,0,0,0,0,,2.6,1,0,0,0
69,Jack Burns,2,1992-1993,0,0,0,0,,0,0,0,0,0,,1.5,1,0,0,0
70,Jerry Burns,24,1968-1991,95,52,43,0,.547,9,3,6,3,3,.500,1.9,1,0,0,0
71,Leon Burtnett,1,1991,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
72,Tom Cable,3,2008-2010,44,17,27,0,.386,-10,0,0,0,0,,3.0,3,0,0,0
73,Jim Caldwell,3,2009-2011,48,26,22,0,.542,4,2,4,2,2,.500,2.0,1,0,0,1
74,Troy Calhoun,1,2006,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
75,Bill Callahan,6,1998-2003,32,15,17,0,.469,-2,1,3,2,1,.667,1.8,1,0,0,1
76,Cam Cameron,10,2002-2011,16,1,15,0,.063,-14,0,0,0,0,,2.1,1,0,0,0
77,Hugh Campbell,2,1984-1985,30,8,22,0,.267,-14,0,0,0,0,,4.0,4,0,0,0
78,Marion Campbell,21,1969-1989,115,34,80,1,.298,-46,0,0,0,0,,3.2,1,0,0,0
79,Dave Campo,10,1995-2004,48,15,33,0,.313,-18,0,0,0,0,,3.0,1,0,0,0
80,Dom Capers,18,1992-2011,128,48,80,0,.375,-32,1,2,1,1,.500,2.6,1,0,0,0
81,Pete Carmichael,4,2000-2011,0,0,0,0,,0,0,0,0,0,,2.5,1,0,0,0
82,Pete Carroll,12,1990-2011,96,47,49,0,.490,-2,3,5,2,3,.400,2.8,1,0,0,0
83,Bud Carson,23,1972-1997,25,11,13,1,.458,-2,1,2,1,1,.500,2.5,1,0,0,0
84,Eddie Casey,1,1935,11,2,8,1,.200,-6,0,0,0,0,,4.0,4,0,0,0
85,Juan Castillo,1,2011,0,0,0,0,,0,0,0,0,0,,2.0,2,0,0,0
86,Pete Cawthon,2,1943-1944,15,2,13,0,.133,-11,0,0,0,0,,4.5,4,0,0,0
87,Guy Chamberlin+,6,1922-1927,81,58,16,7,.784,42,0,0,0,0,,3.2,1,4,0,0
88,Coonie Checkaye,1,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
89,Jack Chevigny,1,1932,10,2,6,2,.250,-4,0,0,0,0,,6.0,6,0,0,0
90,Brad Childress,9,2002-2010,74,39,35,0,.527,4,2,3,1,2,.333,1.9,1,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
91,Norm Chow,3,2005-2007,0,0,0,0,,0,0,0,0,0,,2.7,2,0,0,0
92,Clyde Christensen,3,2001-2011,0,0,0,0,,0,0,0,0,0,,2.7,1,0,0,0
93,Jack Christiansen+,5,1963-1967,67,26,38,3,.406,-12,0,0,0,0,,5.0,3,0,0,0
94,Geep Chryst,2,1999-2000,0,0,0,0,,0,0,0,0,0,,4.0,3,0,0,0
95,Rob Chudzinski,4,2004-2011,0,0,0,0,,0,0,0,0,0,,3.0,1,0,0,0
96,Algy Clark,1,1934,8,0,8,0,.000,-8,0,0,0,0,,6.0,6,0,0,0
97,Dutch Clark+,6,1937-1942,66,30,34,2,.469,-4,0,0,0,0,,3.3,2,0,0,0
98,Monte Clark,9,1974-1984,119,51,67,1,.432,-16,2,2,0,2,.000,2.6,1,0,0,0
99,Potsy Clark,10,1931-1940,118,64,42,12,.604,22,1,1,1,0,1.000,2.6,1,1,0,0
100,Stan Cofall,1,1920,3,0,2,1,.000,-2,0,0,0,0,,10.0,10,0,0,0
101,Max Coley,6,1972-1977,0,0,0,0,,0,0,0,0,0,,2.3,2,0,0,0
102,Jim Colletto,1,2008,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
103,Blanton Collier,8,1963-1970,112,76,34,2,.691,42,5,7,3,4,.429,1.4,1,1,0,0
104,Joe Collier,22,1966-1992,30,13,16,1,.448,-3,1,1,0,1,.000,2.3,1,0,0,0
105,Bill Conkright,1,1962,9,1,8,0,.111,-7,0,0,0,0,,4.0,4,0,0,0
106,Jimmy Conzelman+,15,1921-1948,167,87,63,17,.580,24,2,2,1,1,.500,4.8,1,2,0,0
107,Walt Corey,9,1986-1994,0,0,0,0,,0,0,0,0,0,,1.8,1,0,0,0
108,Al Cornsweet,1,1931,10,2,8,0,.200,-6,0,0,0,0,,8.0,8,0,0,0
109,Don Coryell,14,1973-1986,195,111,83,1,.572,28,6,9,3,6,.333,2.5,1,0,0,0
110,Bruce Coslet,16,1986-2002,124,47,77,0,.379,-30,1,1,0,1,.000,3.4,1,0,0,0
111,Frank Coughlin,1,1921,2,0,1,1,.000,-1,0,0,0,0,,5.0,5,0,0,0
112,Tom Coughlin,16,1995-2011,256,142,114,0,.555,28,8,15,8,7,.533,2.3,1,1,1,1
113,Dick Coury,3,1991-1994,0,0,0,0,,0,0,0,0,0,,4.3,4,0,0,0
114,Bill Cowher,18,1989-2006,240,149,90,1,.623,59,10,21,12,9,.571,1.8,1,1,1,2
115,Larry Coyer,7,2003-2011,0,0,0,0,,0,0,0,0,0,,1.9,1,0,0,0
116,Milan Creighton,4,1935-1938,46,16,26,4,.381,-10,0,0,0,0,,4.0,3,0,0,0
117,Romeo Crennel,11,2000-2011,67,26,41,0,.388,-15,0,0,0,0,,2.6,1,0,0,0
118,Clem Crowe,2,1949-1950,18,5,12,1,.294,-7,1,1,0,1,.000,5.0,3,0,0,0
119,Jim Crowley,1,1947,10,0,10,0,.000,-10,0,0,0,0,,4.0,4,0,0,0
120,Gary Crowton,2,1999-2000,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
121,Gunther Cunningham,16,1992-2011,32,16,16,0,.500,0,0,0,0,0,,2.6,1,0,0,0
122,Brian Daboll,3,2009-2011,0,0,0,0,,0,0,0,0,0,,3.3,3,0,0,0
123,Kay Dalton,2,1983-1984,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
124,Dan Daniel,2,1984-1985,0,0,0,0,,0,0,0,0,0,,4.5,4,0,0,0
125,Russ Daugherty,1,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
126,Al Davis,3,1963-1965,42,23,16,3,.590,7,0,0,0,0,,2.3,2,0,0,0
127,Butch Davis,6,1993-2004,58,24,34,0,.414,-10,1,1,0,1,.000,2.5,1,0,0,0
128,Mouse Davis,2,1989-1990,0,0,0,0,,0,0,0,0,0,,2.5,2,0,0,0
129,Red Dawson,4,1946-1949,48,19,25,4,.432,-6,1,2,1,1,.500,2.0,1,0,0,0
130,Dudley DeGroot,4,1944-1947,45,26,16,3,.619,10,1,1,0,1,.000,2.5,1,0,0,0
131,Jack Del Rio,10,2002-2011,139,68,71,0,.489,-3,2,3,1,2,.333,2.8,2,0,0,0
132,Herb Dell,1,1922,8,0,8,0,.000,-8,0,0,0,0,,15.0,15,0,0,0
133,Rick Dennison,5,2006-2011,0,0,0,0,,0,0,0,0,0,,1.8,1,0,0,0
134,Jack Depler,3,1929-1931,38,12,21,5,.364,-9,0,0,0,0,,6.3,4,0,0,0
135,Dan Devine,4,1971-1974,56,25,27,4,.481,-2,1,1,0,1,.000,2.8,1,0,0,0
136,Hugh Devore,3,1953-1957,26,7,18,1,.280,-11,0,0,0,0,,5.7,5,0,0,0
137,Lone Star Dietz,2,1933-1934,24,11,11,2,.500,0,0,0,0,0,,2.5,2,0,0,0
138,Luby DiMeolo,1,1934,12,2,10,0,.167,-8,0,0,0,0,,5.0,5,0,0,0
139,Mike Ditka+,14,1982-1999,216,121,95,0,.560,26,7,12,6,6,.500,2.4,1,1,1,1
140,Mel Doherty,1,1921,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
141,Ed Donatell,7,2000-2006,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
142,Aldo Donelli,2,1941-1944,15,4,11,0,.267,-7,0,0,0,0,,4.5,4,0,0,0
143,Jim Dooley,4,1968-1971,56,20,36,0,.357,-16,0,0,0,0,,3.0,2,0,0,0
144,Gus Dorais,5,1943-1947,53,20,31,2,.392,-11,0,0,0,0,,3.4,2,0,0,0
145,Jap Douds,1,1933,11,3,6,2,.333,-3,0,0,0,0,,5.0,5,0,0,0
146,Bob Dove,1,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
147,Rod Dowhower,14,1980-2001,29,5,24,0,.172,-19,0,0,0,0,,3.4,1,0,0,0
148,Paddy Driscoll+,5,1920-1957,53,31,17,5,.646,14,1,1,0,1,.000,4.2,1,0,0,0
149,Walt Driskill,1,1949,8,1,7,0,.125,-6,0,0,0,0,,6.0,6,0,0,0
150,Chuck Drulis,2,1961-1972,2,2,0,0,1.000,2,0,0,0,0,,4.0,4,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
151,Mark Duffner,2,2001-2002,0,0,0,0,,0,0,0,0,0,,4.5,4,0,0,0
152,Tony Dungy,22,1984-2008,208,139,69,0,.668,70,11,19,9,10,.474,2.0,1,1,1,1
153,George Dyer,3,1992-1994,0,0,0,0,,0,0,0,0,0,,3.7,3,0,0,0
154,Jim Eddy,4,1990-1996,0,0,0,0,,0,0,0,0,0,,2.3,1,0,0,0
155,Bill Edwards,2,1941-1942,14,4,9,1,.308,-5,0,0,0,0,,4.0,3,0,0,0
156,Cap Edwards,2,1921-1925,24,10,10,4,.500,0,0,0,0,0,,8.0,4,0,0,0
157,George Edwards,3,2003-2011,0,0,0,0,,0,0,0,0,0,,3.3,3,0,0,0
158,Herman Edwards,8,2001-2008,128,54,74,0,.422,-20,4,6,2,4,.333,2.8,1,0,0,0
159,Turk Edwards+,3,1946-1948,35,16,18,1,.471,-2,0,0,0,0,,3.0,2,0,0,0
160,Lew Erber,3,1982-1984,0,0,0,0,,0,0,0,0,0,,2.3,2,0,0,0
161,Eddie Erdelatz,2,1960-1961,16,6,10,0,.375,-4,0,0,0,0,,3.5,3,0,0,0
162,Ron Erhardt,19,1977-1996,49,21,28,0,.429,-7,0,0,0,0,,2.2,1,0,0,0
163,Dennis Erickson,6,1995-2004,96,40,56,0,.417,-16,0,0,0,0,,3.2,2,0,0,0
164,Hal Erickson,1,1924,13,5,8,0,.385,-3,0,0,0,0,,12.0,12,0,0,0
165,Charley Ewart,1,1949,12,1,10,1,.091,-9,0,0,0,0,,5.0,5,0,0,0
166,Weeb Ewbank,20,1954-1973,266,130,129,7,.502,1,4,5,4,1,.800,2.9,1,3,1,1
167,Chuck Fairbanks,6,1973-1978,85,46,39,0,.541,7,2,2,0,2,.000,2.5,1,0,0,0
168,Steve Fairchild,5,2003-2007,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
169,Guil Falcon,3,1920-1923,25,10,10,5,.500,0,0,0,0,0,,8.3,4,0,0,0
170,Vic Fangio,12,1995-2011,0,0,0,0,,0,0,0,0,0,,2.7,1,0,0,0
171,Joe Faragalli,1,1985,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
172,Jim Fassel,13,1992-2006,112,58,53,1,.523,5,3,5,2,3,.400,2.8,1,0,0,1
173,Jack Faulkner,3,1962-1964,32,9,22,1,.290,-13,0,0,0,0,,3.3,2,0,0,0
174,Frank Fausch,2,1921-1922,8,3,5,0,.375,-2,0,0,0,0,,10.5,6,0,0,0
175,Foge Fazio,6,1996-2002,0,0,0,0,,0,0,0,0,0,,2.2,1,0,0,0
176,Tom Fears+,6,1967-1972,49,13,34,2,.277,-21,0,0,0,0,,3.7,3,0,0,0
177,Marty Feldman,2,1961-1962,17,2,15,0,.118,-13,0,0,0,0,,4.0,4,0,0,0
178,Perry Fewell,6,2006-2011,7,3,4,0,.429,-1,0,0,0,0,,2.7,1,0,0,0
179,Frank Filchock,2,1960-1961,28,7,20,1,.259,-13,0,0,0,0,,3.5,3,0,0,0
180,Jack Fish,1,1930,6,1,4,1,.200,-3,0,0,0,0,,11.0,11,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
181,Jeff Fisher,20,1989-2010,262,142,120,0,.542,22,6,11,5,6,.455,2.5,1,0,0,1
182,Ray Flaherty+,11,1936-1949,122,80,37,5,.684,43,6,6,2,4,.333,1.8,1,2,0,0
183,Ken Flajole,3,2009-2011,0,0,0,0,,0,0,0,0,0,,3.0,1,0,0,0
184,Tom Flores,12,1979-1994,184,97,87,0,.527,10,5,11,8,3,.727,3.1,1,2,2,2
185,Chris Foerster,1,2004,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
186,Bob Folwell,1,1925,12,8,4,0,.667,4,0,0,0,0,,4.0,4,0,0,0
187,Wayne Fontes,15,1982-1996,133,66,67,0,.496,-1,4,5,1,4,.200,2.9,1,0,0,0
188,Jack Forsyth,2,1920-1921,16,8,6,2,.571,2,0,0,0,0,,8.5,7,0,0,0
189,Rick Forzano,3,1974-1976,32,15,17,0,.469,-2,0,0,0,0,,2.3,2,0,0,0
190,John Fox,17,1994-2011,160,81,79,0,.506,2,3,8,5,3,.625,2.2,1,0,0,1
191,Chet Franklin,2,1975-1976,0,0,0,0,,0,0,0,0,0,,3.5,3,0,0,0
192,Leslie Frazier,7,2003-2011,22,6,16,0,.273,-10,0,0,0,0,,2.4,1,0,0,0
193,Ralph Friedgen,3,1994-1996,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
194,Benny Friedman+,2,1930-1932,14,5,9,0,.357,-4,0,0,0,0,,4.0,2,0,0,0
195,Chan Gailey,11,1989-2011,64,28,36,0,.438,-8,2,2,0,2,.000,2.2,1,0,0,0
196,Frank Gansz,2,1987-1988,31,8,22,1,.267,-14,0,0,0,0,,5.0,5,0,0,0
197,Joe Gardi,4,1981-1984,0,0,0,0,,0,0,0,0,0,,2.8,2,0,0,0
198,Budge Garrett,1,1922,6,2,1,3,.667,1,0,0,0,0,,11.0,11,0,0,0
199,Jason Garrett,5,2007-2011,24,13,11,0,.542,2,0,0,0,0,,2.2,1,0,0,0
200,Mike Getto,1,1942,11,3,8,0,.273,-5,0,0,0,0,,4.0,4,0,0,0
201,Gary Gibbs,3,2006-2008,0,0,0,0,,0,0,0,0,0,,2.3,1,0,0,0
202,Joe Gibbs,19,1978-2007,248,154,94,0,.621,60,10,24,17,7,.708,2.2,1,3,3,4
203,Abe Gibron,4,1972-1976,42,11,30,1,.268,-19,0,0,0,0,,4.3,4,0,0,0
204,Bob Gibson,2,1977-1978,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
205,George Gibson,1,1930,14,3,10,1,.231,-7,0,0,0,0,,9.5,9,0,0,0
206,Kevin Gilbride,18,1990-2011,22,6,16,0,.273,-10,0,0,0,0,,2.6,1,0,0,0
207,Fred Gillies,1,1928,6,1,5,0,.167,-4,0,0,0,0,,9.0,9,0,0,0
208,Sid Gillman,18,1955-1974,228,122,99,7,.552,23,6,6,1,5,.167,2.6,1,1,0,0
209,Hank Gillo,1,1920,7,2,5,0,.286,-3,0,0,0,0,,11.0,11,0,0,0
210,Harry Gilmer,2,1965-1966,28,10,16,2,.385,-6,0,0,0,0,,6.0,6,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
211,Peter Giunta,3,1998-2000,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
212,Jerry Glanville,14,1979-1993,129,60,69,0,.465,-9,4,7,3,4,.429,2.7,1,0,0,0
213,Archie Golembeski,1,1925,12,6,5,1,.545,1,0,0,0,0,,10.0,10,0,0,0
